Muestreo	Fecha	Hora	ZT	Notas		1	2	3	4	5			6	7	8	9	10	11
134		6:30:30 p. m.	11.5		0	208	18	0	0	59	0	0	0	106	0	0	0	291
135		7:00:30 p. m.	12		0	195	66	0	0	818	0	0	1533	827	41	363	765	1741
136		7:30:30 p. m.	12.5		0	880	333	145	0	906	0	0	4474	239	252	35	568	241
137		8:00:30 p. m.	13		0	885	1148	2752	1	183	0	0	1720	61	274	302	408	2333
138		8:30:30 p. m.	13.5		0	829	539	84	0	197	0	0	1073	1371	254	258	1856	1623
139		9:00:30 p. m.	14		0	39	108	65	0	621	0	0	2868	506	539	1115	2846	2384
140		9:30:30 p. m.	14.5		0	1058	0	1197	0	1057	0	0	1153	325	251	180	1153	2053
141		10:00:30 p. m.	15		0	232	45	0	0	211	0	0	356	288	1070	1567	1083	1878
142		10:30:30 p. m.	15.5		0	37	93	984	0	39	0	0	2121	430	232	75	212	518
143		11:00:30 p. m.	16		0	9	9	792	0	598	0	0	373	811	813	19	699	897
144		11:30:30 p. m.	16.5		0	90	9	27	0	190	0	0	3305	646	315	99	2010	1304
145	24-ene-23	12:00:30 a. m.	17		0	237	260	233	0	1826	0	0	1766	602	46	0	4084	508
146		12:30:30 a. m.	17.5		0	1177	0	1419	0	1845	0	0	23	270	407	0	2301	2361
147		1:00:30 a. m.	18		0	490	230	383	0	945	0	0	12	72	8	175	2266	1710
148		1:30:30 a. m.	18.5		0	0	0	0	0	81	0	0	23	214	894	768	10	1039
149		2:00:30 a. m.	19		0	38	297	0	0	166	0	0	94	2266	295	257	19	320
150		2:30:30 a. m.	19.5		0	73	673	0	0	140	0	0	118	1564	34	0	34	902
151		3:00:30 a. m.	20		0	102	292	300	0	10	0	0	258	2029	0	0	314	1086
152		3:30:30 a. m.	20.5		0	142	0	1833	0	1085	0	0	1292	2303	21	0	345	2388
153		4:00:30 a. m.	21		0	609	102	0	0	2393	0	0	4653	204	624	29	214	2096
154		4:30:30 a. m.	21.5		0	84	9	28	0	21	0	0	1746	0	289	174	1919	1040
155		5:00:30 a. m.	22		0	472	154	930	0	294	0	0	1255	119	0	825	626	2406
156		5:30:30 a. m.	22.5		0	612	118	1250	0	284	0	0	407	159	199	125	2790	1513
157		6:00:30 a. m.	23		0	120	149	19	0	185	0	0	523	903	0	0	3678	2095
158		6:30:30 a. m.	23.5		0	9	0	0	0	0	0	0	2083	622	8	82	1601	1523
159		7:00:30 a. m.	0		0	94	0	0	0	428	0	0	3080	2758	0	90	3979	1696
160		7:30:30 a. m.	0.5		0	20	56	0	0	56	0	0	874	1177	0	91	1737	12
161		8:00:30 a. m.	1		0	124	0	0	0	468	0	0	134	0	8	0	10	31
